date,channel,impressions,clicks,spend,attributed_revenue,ctr,cpc,cpm,roas
2025-05-16,Facebook,1475903,19638,15440.67,40775.59,0.013305752478313277,0.7862648945921173,10.461846069829793,2.6407914941514843
2025-05-16,Google,2033462,83448,12669.470000000001,36422.52,0.04103740320694461,0.15182472917265843,6.23049262784355,2.874825860908151
2025-05-16,TikTok,1432113,22237,11997.119999999999,33083.74,0.015527406007766148,0.5395116247695282,8.377216043706047,2.757640166973407
2025-05-17,Facebook,1677399,21777,17210.84,42695.57,0.012982599846548138,0.7903218992515039,10.260432967946207,2.4807371400814833
2025-05-17,Google,1905351,79998,13250.04,39544.909999999996,0.04198596479073934,0.16562964074101855,6.95412026445521,2.9845124995849064
2025-05-17,TikTok,1462304,22458,11222.08,32161.149999999998,0.015357955664485634,0.4996918692670763,7.67424557410771,2.865881369585674
2025-05-18,Facebook,1687499,23297,17492.64,46380.880000000005,0.013805637810748332,0.7508537579945915,10.366015031712612,2.6514511245872554
2025-05-18,Google,1880528,76834,12191.8,40701.78,0.040857674014957504,0.15867714813754327,6.483179192226864,3.338455355238767
2025-05-18,TikTok,1689160,25233,13274.73,36594.92,0.014938194131994601,0.5260860777553203,7.858775959648582,2.756735541890494
2025-05-19,Facebook,1600554,21285,16296.34,42482.04,0.013298520387315892,0.7656255579046277,10.181687090844795,2.6068454634598934
2025-05-19,Google,1679868,70965,12085.4,37043.71,0.042244390630692415,0.17030085253293878,7.194255739141409,3.0651620964138546
2025-05-19,TikTok,1487766,23141,11556.3,31943.61,0.015554193334166798,0.4993863705112138,7.767552155379273,2.7641727888684096
2025-05-20,Facebook,1642554,21760,14728.15,39414.45,0.01324766187291255,0.6768451286764706,8.966615405033869,2.6761304033432576
2025-05-20,Google,1846924,68390,8239.23,23916.8,0.03702913601209362,0.12047419213335282,4.4610552464530215,2.9027955282229043
2025-05-20,TikTok,1321766,18956,10250.380000000001,28846.97,0.014341418980364149,0.5407459379615953,7.755064058237239,2.814234204000242
2025-05-21,Facebook,1734795,23840,18150.58,46508.97,0.01374225773074052,0.7613498322147652,10.462665617551353,2.5623958022278073
2025-05-21,Google,1907229,75837,13044.49,38782.11,0.03976292306796929,0.17200693592837268,6.839498560477006,2.9730644892977804
2025-05-21,TikTok,1545500,22756,11606.07,32778.01,0.014724037528307992,0.5100224116716471,7.509589129731478,2.824212674919245
2025-05-22,Facebook,1858669,25347,15581.33,40043.08,0.01363717800210796,0.6147208742651991,8.383057983965946,2.569939793329581
2025-05-22,Google,1807037,74245,9501.57,29695.73,0.041086596455966316,0.1279758906323658,5.258093774504894,3.1253498106102464
2025-05-22,TikTok,1394802,20474,10031.68,28759.68,0.014678785949546962,0.489971671388102,7.192189285647712,2.8668857060831288
2025-05-23,Facebook,1662268,22306,17741.35,44653.05,0.013419015465616855,0.7953622343764009,10.672978123864503,2.516891330141168
2025-05-23,Google,1878314,77937,11281.710000000001,35812.92,0.04149306239531835,0.14475422456599563,6.006296071902782,3.174423026296545
2025-05-23,TikTok,1235730,17952,9246.03,26594.03,0.01452744531572431,0.5150417780748664,7.482241266296035,2.8762647319984898
2025-05-24,Facebook,1814306,23800,20450.54,51635.81,0.013117963562927092,0.8592663865546218,11.271825149671555,2.524911811619644
2025-05-24,Google,2338448,87491,16672.559999999998,48831.380000000005,0.037414131081811526,0.19056314363763127,7.1297544354204145,2.9288471596443504
2025-05-24,TikTok,1312123,19457,9958.19,26860.3,0.014828640302776492,0.5118050059104693,7.589372337806745,2.697307442416744
2025-05-25,Facebook,1895796,27089,17109.46,45619.490000000005,0.014288984679786221,0.6316017571708074,9.024947831939723,2.6663313745728976
2025-05-25,Google,1618717,65437,9933.56,28777.52,0.040425225657109924,0.15180341397068936,6.136687265284791,2.896999665779439
2025-05-25,TikTok,1228294,18770,11440.78,31566.91,0.015281357720545733,0.6095247735748536,9.314366104531977,2.759157155368777
2025-05-26,Facebook,1644416,22111,17864.7,44773.07,0.013446110959757143,0.8079553163583737,10.863856834280377,2.5062312829210676
2025-05-26,Google,2044846,85942,15042.199999999999,45460.51,0.042028592862249775,0.17502734402271297,7.35615298169153,3.0221982156865357
2025-05-26,TikTok,1272066,19509,8944.52,25378.670000000002,0.015336468390791044,0.4584817263826952,7.0314905044235125,2.8373428646813914
2025-05-27,Facebook,1473003,19623,15354.36,40557.05,0.013321765128787926,0.7824675126127504,10.423848423933963,2.641402832811006
2025-05-27,Google,2059053,82161,12996.69,38303.0,0.03990232402954173,0.15818563552050244,6.311974485358075,2.9471350012964836
2025-05-27,TikTok,1293611,19181,9171.33,25628.67,0.014827486779255897,0.4781466034096241,7.089712440602314,2.7944333046570127
2025-05-28,Facebook,2195486,28650,22933.64,60103.03,0.013049502479177731,0.8004760907504362,10.445814730770318,2.620736612242976
